"Helsingin asuntokuntien tulot ja verotus 31.12."

"Alue","Tulotyyppi","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"091 302 Kuusisaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,88482,102990,95105,113815,126299,165735,152857,144566,128321,122387,117432,121621,127587,137596,148073,145689,144792
"091 302 Kuusisaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,32519,37068,34053,42274,48864,61372,53144,52147,45557,43500,42968,45078,48142,51044,54595,52668,53826
"091 303 Lehtisaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,64221,64216,63638,67965,65438,71330,71083,69761,76269,77072,75793,80666,78081,77848,80684,108355,92769
"091 303 Lehtisaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,27978,28151,27703,29405,28519,30088,30428,30957,32887,33469,33458,35899,35749,36663,37434,49506,43037
"091 304 Munkkivuori","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,32701,32878,32835,33112,31958,33208,35456,37247,40515,39733,39720,40783,41472,42385,42778,43334,43274
"091 304 Munkkivuori","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,19056,19373,19381,19664,19660,20391,21404,22532,24055,23488,23752,24345,24470,24803,24853,25176,25323
"091 305 Niemenmäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,34440,34883,33777,33823,33781,35014,37234,39493,42219,41954,42125,42416,43398,42966,44637,46259,44603
"091 305 Niemenmäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,20300,20355,19864,19717,20438,21243,22431,23928,25251,24779,25222,25106,25656,25675,26325,27284,26748
"091 306 Talinranta","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,29916,30851,31911,30525,27934,28945,31336,33162,38470,33762,34000,33737,34946,35462,36317,36239,35006
"091 306 Talinranta","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12912,13325,13759,13719,13485,13825,15211,16313,18648,16574,17090,16913,17292,17470,18320,18040,17644
"091 203 Haagan peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,28842,29230,29188,29275,28338,29598,31155,32474,36026,33700,34081,34669,35270,35528,35945,36331,35850
"091 203 Haagan peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16633,17023,17028,17255,17495,18095,18924,19984,21666,20155,20783,21113,21354,21414,21581,21783,21518
"091 291 Etelä-Haaga","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,30156,30620,30714,30794,29766,31291,32722,34255,37842,35545,35932,36305,36579,37029,37462,38176,37600
"091 291 Etelä-Haaga","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,17818,18264,18276,18525,18686,19532,20314,21669,23371,21839,22973,23228,23229,23430,23506,23841,23501
"091 292 Kivihaka","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,28372,29281,30360,29584,28837,30939,32371,34255,37012,35016,36136,36099,36637,37016,37022,38284,37185
"091 292 Kivihaka","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,17555,18338,18520,18801,18972,20337,21674,22656,24434,23013,22980,22700,22965,23140,22808,23850,23690
"091 293 Pohjois-Haaga","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,26138,26160,26109,26144,25422,26240,28046,29148,33010,30669,31121,31948,32771,32830,33541,33228,33055
"091 293 Pohjois-Haaga","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15113,15278,15331,15422,15759,16029,16855,17672,19479,18000,18378,18770,19103,19031,19304,19183,19045
"091 294 Lassila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,30932,31777,31000,31435,30323,31558,32825,33727,36631,34390,34729,35562,36572,36729,36440,37132,36341
"091 294 Lassila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16257,16866,16640,17085,17364,17832,18661,19394,20728,19358,19781,20328,20915,20904,21060,21324,20957
"091 204 Pitäjänmäen peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,32531,32571,32750,32969,31970,33565,35887,37661,40925,38282,38276,39244,39891,39435,40146,39820,39496
"091 204 Pitäjänmäen peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16166,16311,16473,16662,16860,17572,18654,19794,21126,19842,20297,20858,21244,20955,21142,21080,20951
"091 320 Konala","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,34088,33914,34043,34853,33309,35225,37827,39383,41892,39504,39954,40539,41282,41033,41777,41655,41415
"091 320 Konala","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,17093,17013,17205,17537,17475,18195,19423,20449,21485,20458,20953,21312,21611,21477,21927,21693,21639
"091 461 Pajamäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,28885,29305,29300,28771,27985,29398,31440,33418,35776,33483,34098,34294,34891,35008,35292,35392,35758
"091 461 Pajamäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16865,17246,17171,17424,17748,18559,19698,20838,22086,20563,21092,21291,21682,21617,21420,21789,21925
"091 462 Tali","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,28052,27552,27513,26846,26266,28004,30046,32203,35915,31671,32296,33572,33058,32123,32569,32121,31412
"091 462 Tali","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12081,12111,12339,12387,12646,13374,14270,15621,17004,14960,15722,16262,16163,15568,15568,16060,16011
"091 463 Reimarla","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,32666,32685,32793,32896,31927,32884,35088,36347,39626,37159,36611,37798,38229,37623,38305,37774,36992
"091 463 Reimarla","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16319,16482,16598,16624,16722,17094,17902,18891,20156,18873,18914,19425,19652,19419,19278,19068,18758
"091 464 Marttila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,49181,48670,50247,54222,55773,58090,60375,59592,65229,63852,65505,64465,65349,67611,66977,69242,65766
"091 464 Marttila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,18181,18430,18810,19600,21124,21824,23000,23705,25297,25324,26859,26457,28705,28677,27216,28464,27794
"091 465 Pitäjänmäen yritysalue","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,32695,33135,33559,33361,32802,35090,37358,40347,45406,42033,40398,42048,42818,41911,42926,42061,41945
"091 465 Pitäjänmäen yritysalue","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15230,15573,15858,15852,16470,17733,19114,20695,22712,21251,21729,22949,23550,22922,23544,23332,23136
"091 205 Kaarelan peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,30599,31249,30779,30723,29879,31497,33321,34950,38512,35678,35998,36650,37421,37640,37802,37651,37578
"091 205 Kaarelan peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13984,14406,14258,14396,14626,15326,16208,17270,18681,17361,17933,18360,18746,18816,18877,18806,18774
"091 331 Kannelmäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,26480,26462,26449,26157,25253,26336,28149,29523,33048,30083,30092,30505,31262,31222,31312,31018,31356
"091 331 Kannelmäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13579,13694,13723,13728,13897,14387,15319,16259,17844,16305,16691,16998,17398,17338,17360,17197,17243
"091 332 Maununneva","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,50150,55878,50812,52656,52411,55731,58801,62525,65424,64063,66084,68251,71631,69265,70373,71362,71163
"091 332 Maununneva","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,18864,20911,19026,19746,20119,21118,22265,24048,24592,24315,25405,26545,27932,27198,27193,27788,27651
"091 333 Malminkartano","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,28844,28803,28436,28223,27122,27912,30015,31553,35553,31991,32371,32900,33191,33978,33991,34049,33466
"091 333 Malminkartano","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12444,12587,12531,12605,12698,13093,14042,15099,16724,15038,15580,15872,16035,16409,16416,16428,16239
