"Alue","1993 Valtionveronalaiset tulot € / henkilö","1994 Valtionveronalaiset tulot € / henkilö","1995 Valtionveronalaiset tulot € / henkilö","1996 Valtionveronalaiset tulot € / henkilö","1997 Valtionveronalaiset tulot € / henkilö","1998 Valtionveronalaiset tulot € / henkilö","1999 Valtionveronalaiset tulot € / henkilö","2000 Valtionveronalaiset tulot € / henkilö","2001 Valtionveronalaiset tulot € / henkilö","2002 Valtionveronalaiset tulot € / henkilö","2003 Valtionveronalaiset tulot € / henkilö","2004 Valtionveronalaiset tulot € / henkilö","2005 Valtionveronalaiset tulot € / henkilö","2006 Valtionveronalaiset tulot € / henkilö","2007 Valtionveronalaiset tulot € / henkilö","2008 Valtionveronalaiset tulot € / henkilö","2009 Valtionveronalaiset tulot € / henkilö","2010 Valtionveronalaiset tulot € / henkilö","2011 Valtionveronalaiset tulot € / henkilö","2012 Valtionveronalaiset tulot € / henkilö","2013 Valtionveronalaiset tulot € / henkilö","2014 Valtionveronalaiset tulot € / henkilö","2015 Valtionveronalaiset tulot € / henkilö","2016 Valtionveronalaiset tulot € / henkilö","2017 Valtionveronalaiset tulot € / henkilö"
"091 463 Reimarla",13707,14347,14591,15065,15692,17570,17895,19124,19897,20087,21217,21507,21146,21815,22545,23485,25109,23674,23571,24438,24532,24351,24412,24284,24310
"091 464 Marttila",15881,16960,17583,18567,18718,20640,20284,21346,21589,22456,23371,24521,26056,27132,36942,28195,30602,30928,31799,33111,34032,34415,33096,34522,34157
"091 465 Pitäjänmäen yritysalue",14522,15315,16755,15540,11574,12559,14434,16221,17792,18453,19151,19618,20767,21943,23622,24901,27752,26223,26664,28014,28769,28322,29246,29028,29377
"091 205 Kaarelan peruspiiri",12126,12086,12576,13120,13709,14444,15847,16702,16889,17650,17751,18498,18626,19676,20545,21388,23683,22120,22523,23129,23494,23914,23984,23921,24495
"091 331 Kannelmäki",12444,12200,12761,13204,13729,14328,15245,16102,16373,16698,17136,17516,17750,18673,19499,20108,23000,21091,21140,21676,21974,22091,22199,22135,22541
"091 332 Maununneva",15642,15972,16811,17624,18558,19633,25738,26610,22720,26407,23473,26399,24857,26227,27831,29283,29502,29739,30579,31906,33547,34441,33688,34086,36277
"091 333 Malminkartano",10560,10529,10904,11349,11867,12602,13526,14236,14896,15274,15511,16101,16323,16917,17910,18798,21367,19331,19813,20312,20544,21029,21133,21162,21404
"091 334 Hakuninmaa",12989,13590,13939,14983,15725,16758,18164,19378,20506,21196,22015,22790,23702,26264,26504,27930,28290,28079,29699,30397,30151,31050,31774,31353,31355
"091 335 Kuninkaantammi",.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,23314,27212
"091 336 Honkasuo",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,23300
"091 3 Keskinen suurpiiri",13424,13412,13834,14235,14751,15635,16849,18144,18618,19138,19490,20112,20194,21119,22264,23111,26859,24370,25111,25763,26824,26885,27523,27922,29040
"091 301 Kallion peruspiiri",14356,14288,14722,15143,15795,16780,18232,19624,20127,20705,21173,21947,21821,22918,24318,25007,28861,26288,26689,27296,28012,28545,29174,30086,31646
"091 100 Sörnäinen (Ent.)",14904,14883,15295,15637,16212,16914,18613,20311,20467,21001,21474,22952,22439,23729,25618,25354,29009,26823,.,.,.,.,.,.,.
"091 101 Vilhonvuori",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27571,27967,28734,28931,29081,29383,30519
"091 102 Kalasatama",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,21052,27021,28574,31730,32586,36204
"091 103 Sompasaari",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..
"091 104 Hanasaari",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..
"091 111 Siltasaari",15396,15360,16294,16517,17260,18257,21691,22823,23181,23575,24604,25361,25725,26629,27821,28636,32539,31398,31385,32273,32838,35060,34563,34870,36345
"091 112 Linjat",14188,14030,14339,14717,15477,16527,17571,18839,19548,20096,20424,21013,21018,21820,23226,24485,28227,25149,25826,26687,27152,27606,28020,28920,29927
"091 113 Torkkelinmäki",13811,13785,14216,14733,15279,16389,17599,18900,19520,20219,20670,20952,20879,22240,23184,24112,28336,25555,25371,26282,26952,27159,28186,29875,31788
"091 302 Alppiharjun peruspiiri",13441,13335,13924,14388,14880,15803,17038,18476,18974,19562,19809,20305,20534,21553,22317,23157,27298,24153,24775,25578,28845,26550,26747,27180,28323
"091 121 Harju",13391,13206,13736,14259,14754,15720,17036,18552,19100,19419,19669,20149,20280,21180,22089,22822,27135,23649,24351,25130,30334,26194,26349,26708,28018
"091 122 Alppila",13527,13561,14248,14611,15098,15951,17042,18343,18757,19806,20046,20571,20969,22193,22704,23740,27577,25018,25497,26329,26332,27161,27413,27960,28827
"091 303 Vallilan peruspiiri",12759,12725,12762,13160,13613,14506,15494,16752,17120,17699,17834,18536,18609,19722,21037,21976,25914,23271,24357,25362,26021,26489,26928,27837,28839
"091 210 Hermanni (Ent.)",13096,13287,12940,13181,13622,14474,15396,16240,16829,17199,17804,18232,18738,19611,21314,22334,25673,23902,.,.,.,.,.,.,.
"091 211 Hermanninmäki",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24844,26047,26622,27249,27133,27724,28036
"091 212 Hermanninranta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..
"091 213 Kyläsaari",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,12815,11672,11509,11980,11818,12049
"091 220 Vallila",12639,12532,12684,13149,13608,14521,15542,17002,17261,17935,17849,18681,18545,19778,20894,21786,26061,22886,24039,24959,25987,26509,27301,28413,29877
"091 304 Pasilan peruspiiri",12683,12615,13092,13492,14019,14851,16019,16858,17238,17552,17658,18354,18284,19320,20092,20621,24573,22744,23375,24266,24971,25058,25251,25279,25949
"091 171 Länsi-Pasila",12554,12558,13150,13612,14347,15067,16467,17052,17639,18224,18311,19031,18875,19995,20940,21958,25809,24471,24938,26277,27010,27264,27683,27848,28511
"091 172 Pohjois-Pasila",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 173 Itä-Pasila",12900,12713,13048,13397,13683,14645,15471,16566,16782,16771,16930,17571,17658,18628,19191,19197,23131,20789,21555,21829,22379,22333,22302,22038,22690
"091 174 Keski-Pasila",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 305 Vanhankaupungin peruspiiri",12820,12999,13543,13862,14231,14949,15913,17160,17712,18164,18714,19145,19555,20045,21183,22347,25604,23463,24509,24856,25588,26027,27162,26765,27603
"091 231 Toukola",12973,13268,14494,14324,14834,15510,16111,17053,19528,20115,20068,19893,20810,20816,21082,22021,25396,23383,23846,24523,25030,24963,25316,26373,27282
"091 232 Arabianranta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,24002,26002,29126,26682,29051,27644,28835,29699,31140,30153,30682
"091 240 Kumpula",11474,11718,12409,12678,13091,13649,14695,15773,16527,16786,16985,17105,17866,17666,17960,18742,22463,19560,19998,21097,21179,21677,23804,22199,22985
"091 250 Käpylä",13647,13835,14275,14742,15237,16059,17079,18563,18928,19293,20169,20916,21139,21882,23027,24069,26704,25141,25925,26748,27710,27441,28245,28424,29836
"091 260 Koskela",12276,12347,12594,12918,13010,13689,14600,15487,15311,15992,16108,16669,16245,17471,17961,18761,22266,19736,19677,20387,20716,21427,21297,21101,21223
"091 270 Vanhakaupunki",12580,12328,13329,13119,13551,14513,14615,16294,16988,16911,18651,18107,19475,19226,20697,22474,24179,20053,21015,22316,22447,23036,23061,24012,25451
"091 4 Pohjoinen suurpiiri",15620,15573,16192,16767,17489,18582,20860,22366,21949,22696,23406,24747,24634,26064,27485,27262,28968,28520,29454,30075,30727,31198,31702,31871,32525
"091 401 Maunulan peruspiiri",13447,13303,13726,14105,14675,15796,17651,17235,17716,18193,18752,19717,19270,20093,21185,21676,24678,22832,23353,23650,24343,24546,24776,25023,25335
"091 281 Pirkkola",15926,16110,17268,17580,17582,20644,20284,20467,22522,23517,24248,26909,25910,26026,28320,30850,33233,33979,34680,34987,36049,36369,35665,35127,34792
"091 282 Maunula",12542,12293,12715,13040,13517,14393,16437,15538,16216,16545,16988,17809,17467,18330,19389,19661,22897,20599,20983,21210,21779,22076,22480,22874,23227
"091 283 Metsälä",19949,20142,19867,20265,21943,23616,25100,27717,25903,27227,28087,29001,28245,29183,29737,30853,32430,31966,33823,34160,35667,35786,35420,34972,35753
"091 286 Maunulanpuisto",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 402 Länsi-Pakilan peruspiiri",18286,18267,18959,19677,20888,22295,26214,30994,26963,27858,29233,30868,31544,32344,35542,32536,33163,34245,35940,36220,37494,37948,38874,39037,40625
"091 341 Länsi-Pakila",18286,18267,18959,19677,20888,22295,26214,30994,26963,27858,29233,30868,31544,32344,35542,32536,33163,34245,35940,36220,37494,37948,38874,39037,40625
"091 403 Tuomarinkylän peruspiiri",15441,15807,16621,17019,17951,19259,21733,22921,23197,23908,24717,26291,26008,28250,29572,30128,30724,31113,32579,32822,33640,34881,35468,35886,36984
"091 351 Paloheinä",16690,16962,17804,18093,18981,20512,23458,24637,24693,25764,26291,28166,27621,30239,31361,31769,32040,32639,34299,34981,35949,37723,38323,38427,40253
"091 352 Torpparinmäki",12859,13403,14132,14663,15647,16450,17883,19082,19836,19973,21235,22174,22408,23760,25477,26445,27713,27530,28595,28076,28602,28795,29341,30329,29919
"091 354 Haltiala",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 404 Oulunkylän peruspiiri",15745,15326,15892,16571,16941,17746,19238,20730,20908,21607,22108,23310,23223,24711,25489,25603,27989,26613,27072,27845,28470,28820,29261,29356,29671
"091 284 Patola",15480,15072,15618,16181,16935,17883,19453,20621,21244,22120,22210,23062,23091,24711,26022,25858,28455,26704,27156,28090,28619,29120,29429,29623,29827
"091 285 Veräjämäki",16599,16149,16772,17821,16959,17446,22011,24638,23282,23733,25527,28171,27674,29257,28240,28794,30011,30020,30831,30999,32002,32285,33242,33083,33534
"091 287 Veräjälaakso",.,.,.,.,.,.,12260,13521,13990,14080,14537,15136,15207,15714,16606,17599,20642,19112,19007,19945,20337,19667,19801,19882,20242
"091 405 Itä-Pakilan peruspiiri",16525,17188,17812,18586,19636,20826,23767,24616,24378,25449,25860,27264,26738,28544,30296,30247,30845,32357,33510,35297,34599,34752,35548,35221,35517
"091 342 Itä-Pakila",17170,17867,18463,19331,20373,21588,24665,25483,25205,26345,26705,28086,27463,29271,31097,30962,31685,33400,34474,36297,35611,35673,36671,36125,36538
"091 353 Tuomarinkartano",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 5 Koillinen suurpiiri",12184,12343,12868,13249,13779,14539,15600,16836,16921,17404,17836,18519,18637,19683,20682,21473,23659,22404,22923,23590,23872,24150,24444,24565,25062
"091 501 Latokartanon peruspiiri",12064,12124,12400,12763,13158,13653,14590,15154,15610,16122,16487,17232,17747,18673,19639,20322,23157,21225,21645,22273,22459,22697,23126,23247,23506
"091 361 Viikinranta",13017,13556,14015,14516,14887,16312,18118,18940,20027,21026,21693,21683,29763,30947,34854,34411,36658,36283,37454,36799,37208,37818,38737,38371,38702
"091 362 Latokartano",8310,8140,8323,7367,8739,9515,11297,12655,14393,15672,16165,17538,17534,18867,19333,20458,22996,20916,21575,22175,22429,22470,23018,23230,23651
"091 363 Viikin tiedepuisto",.,.,.,.,.,.,9720,11183,10517,11541,11163,10861,11113,12241,12287,12773,18610,13159,14604,16012,15800,16190,16460,16428,16760
"091 364 Viikinmäki",.,.,.,.,.,.,..,..,15757,15055,15682,16522,19502,19767,21035,21766,24417,22228,23043,23278,23928,24296,24425,24801,24904
"091 383 Pihlajamäki",12176,12245,12553,12924,13362,13973,15136,15760,16019,16647,17020,17729,17731,18425,19316,19545,22101,20311,20713,21291,21260,21435,21673,21940,21992
"091 386 Pihlajisto",.,.,.,.,.,.,14429,15421,15933,15886,16343,16667,16853,17497,18337,18802,21650,20408,19703,20488,20691,21254,21812,20968,21202
"091 502 Pukinmäen peruspiiri",12390,12426,12861,13369,13795,14580,15452,16629,16899,17630,18304,18803,18590,20021,20722,21258,23853,22084,22697,23115,23222,23256,23697,23408,23216
"091 370 Pukinmäki",12390,12426,12861,13369,13795,14580,15452,16629,16899,17630,18304,18803,18590,20021,20722,21258,23853,22084,22697,23115,23222,23256,23697,23408,23216
"091 503 Malmin peruspiiri",12402,12712,13281,13637,14142,15053,16243,17532,17596,18136,18428,18990,19108,20200,21573,22451,24484,23613,24128,24695,25189,25465,25629,25883,26162
"091 381 Ylä-Malmi",11511,11687,12002,12371,12858,13586,15094,16047,15501,16180,16344,16712,16777,17729,18749,19511,22126,20360,20736,20981,21398,21274,21335,21365,21719
"091 382 Ala-Malmi",10835,10973,11292,11754,12195,12822,13395,14172,14822,14926,15311,15951,16099,16779,17865,18781,21225,19415,20372,21026,21411,21758,21325,21036,21351
"091 384 Tattariharju",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 385 Malmin lentokenttä",13719,14007,14816,15151,16081,17008,18098,25317,20723,20522,17417,17691,18057,19557,20612,21884,23635,23117,23354,24202,24830,24653,24968,25980,25917
"091 391 Tapaninvainio",14441,14910,15893,16107,16584,17666,19301,20526,20910,21674,22361,23170,23203,24652,26357,27082,28345,29000,29508,30175,30818,31029,31493,31893,32648
"091 392 Tapanila",11816,12180,12587,13081,13604,14741,15476,16692,17378,17930,18517,19115,19211,20077,21776,22770,24949,23845,24383,25123,25637,26467,26875,27483,27061
"091 504 Suutarilan peruspiiri",11967,12025,12770,13042,13747,14476,15482,16408,17061,17413,18016,18621,18753,20021,20835,21771,23436,22519,23204,23915,24386,24649,24878,25184,25609
"091 401 Siltamäki",12365,12363,13140,13399,13971,14701,15761,16524,17284,17432,18031,18508,18733,19574,20574,21372,23178,21997,21905,22577,22961,23148,23446,23785,24071
"091 403 Töyrynummi",11373,11537,12251,12535,13431,14160,15107,16253,16766,17387,17996,18768,18781,20622,21182,22302,23788,23237,26047,26915,27604,28068,28145,28381,29254
"091 505 Puistolan peruspiiri",12539,12772,13329,13809,14539,15378,16637,18663,18103,18542,19029,20039,20055,21014,21968,22934,24614,23955,24559,25394,25653,25965,26277,26193,27907
